id,x,y,mosaic_id
dd5a90cf89,5,1,0
715faa9d3f,0,1,0
ee2bfe0240,1,1,0
22a4bbce52,2,1,0
88b8522325,3,1,0
cd8ed0c05d,4,1,0
14ab406aff,6,1,0
e34c1220b1,5,2,0
c7a2535ee6,5,3,0
2d777bcac5,5,4,0
792b1ff712,5,5,0
128d07c753,5,6,0
6e9aceff2f,6,2,0
60373566f9,6,3,0
2da79e62f9,6,4,0
96f700aec5,6,5,0
c81e790680,6,6,0
43addb85a4,0,2,0
13be34d712,1,2,0
07244009e3,2,2,0
a0b00e7922,3,2,0
fb903c3b68,4,2,0
fa92bed2b1,0,3,0
c62cffd089,1,3,0
7c374bd2cc,2,3,0
824e666e6f,3,3,0
cda102a81b,4,3,0
2d4e7a937b,3,4,0
7d187bf4bb,4,4,0
abbc5e8ba1,7,4,0
f841c6dee7,8,4,0
2ad5cb95c8,9,4,0
b05514e5fe,3,5,0
bfbb9b9149,4,5,0
8891f0ddcc,7,5,0
ed5f2675bf,8,5,0
c2973c16f1,9,5,0
173073f1c8,7,6,0
d69d9cf365,8,6,0
833ff7ed7e,9,6,0
88bacbc4b9,10,6,0
32fe997af3,11,6,0
e9032dee29,12,6,0
a85d0a35b4,13,6,0
ed0e7d188e,14,6,0
c9a8c9c5bf,15,6,0
a2ad71b576,7,2,0
220066ba05,8,2,0
b37ebb4c18,9,2,0
450715077f,7,3,0
f6d6caf753,8,3,0
2bc179b78c,9,3,0
917ef84e64,10,3,0
593c918ee5,11,3,0
cfe4dd9f7e,12,3,0
e3e92cc747,13,3,0
a856815b31,14,3,0
f90d686e01,15,3,0
2f5377ea9d,16,3,0
147ec91542,1,4,0
6c25735f24,3,6,0
53d4c8a52c,4,6,0
d53dabc268,7,1,0
a4e5bfb182,8,0,0
d7099eb334,8,1,0
ed0a59bf6f,9,1,0
ef0ca9f5ed,10,1,0
84af757738,10,2,0
a5d2da8488,10,4,0
6a79ccb43e,10,5,0
e6b58b9a6e,11,1,0
abd466e64b,11,2,0
11005c0470,11,4,0
5b217529e7,11,5,0
b0869b33ce,12,1,0
19112f71b9,12,2,0
c10a04cb9c,12,4,0
567df9b888,12,5,0
05e7f129ee,13,1,0
1af68faa92,13,2,0
fdd2dc5ce6,13,4,0
826120ef4e,13,5,0
9d4c306750,14,1,0
16fb21800b,14,2,0
852873eb7b,14,4,0
8b62cdd144,14,5,0
0267db6d11,15,1,0
9018e08735,15,2,0
2ce1812846,15,4,0
95a7b73906,15,5,0
37f78a8697,16,1,0
1511f1de49,16,2,0
bfac5970fb,16,4,0
